objectid, id, Name, Status, BldSz_Orig, BldSz_Curr, Has_Cave, CaveSize, Prod_Orig, Prod_Curr, Tour_Tastg, Visit_Day, Visit_Week, Visit_Yr, Visit_Mktg, Visit_NmEv, Visit_ALL, EmplyeeNum, ParkingNum, WDO, Last_UP, In_CityBdy, In_AIASP, Notes, SmlWnryExm, Apprv_date, Estab_date, Total_Size, Subj_to_75, GPY_at_75, AVA, SUP_dist
21, 45, CLOS PEGASE  INC, PROD, 24100, 24100, x, 19000, 55000, 200000, PUB, 0, 725, 37700, 0, 0, 37700, 10, 35, x, null, null, null, null, null, 11/21/1984, 09/01/1986, 43100, null, 0, Calistoga, 3
22, 156, PAOLETTI ESTATES WINERY, PROD, 2408, 3604, x, 6400, 16000, 16000, APPT, 10, 10, 520, 30, 3, 550, 2, 0, null, 96377-MOD, null, null, null, null, 01/20/1993, 09/01/1995, 10004, x, 16000, Calistoga, 3
23, 223, STERLING VINEYARDS, PROD, 73314, 120362, x, 41000, 730000, 1500000, PUB, 0, 0, 250000, 6700, 547, 256700, 46, 222, x, P12-00031, null, null, null, null, 09/01/1964, 09/01/1969, 161362, x, 770000, Calistoga, 3
24, 173, REVERIE ON DIAMOND MOUNTAIN, PROD, 5237, 5237, null, 0, 5000, 5000, APPT, 0, 20, 1040, 222, 16, 1262, 2, 5, null, 94254-UP, null, null, null, null, 06/21/1995, 09/21/1995, 5237, x, 5000, Diamond Mountain District, 3
25, 265, VON STRASSER WINERY, PROD, 2400, 4400, x, 6700, 2500, 25000, APPT, 40, 20, 1040, 440, 18, 1480, 4, 2, x, P08-00159, null, null, null, null, 10/15/1979, 09/01/1980, 11100, x, 21500, Diamond Mountain District, 3
26, 274, LADERA WINERY, PROD, 6500, 20247, x, 19000, 31000, 150000, APPT, 70, 60, 3120, 1140, 30, 4260, 13, 20, x, null, null, null, null, null, 05/01/1985, 09/01/1985, 39247, x, 119000, Howell Mountain, 3
27, 58, DIAMOND CREEK VINEYARDS, PROD, 3000, 9000, null, 0, 5000, 10000, APPT, 10, 10, 520, 500, 5, 1020, 5, 5, x, 97093-MOD, null, null, null, null, 04/03/1972, 09/01/1972, 9000, null, 0, Diamond Mountain District, 3
28, 227, TWOMEY CELLARS, PROD, 2600, 18940, null, 0, 20000, 81500, PUB, 205, 530, 27500, 200, 5, 27700, 4, 18, x, P12-00159, null, null, null, null, 09/01/1973, 09/01/1973, 18940, x, 48500, Calistoga, 3
29, 229, COOK FAMILY WINERY, PROD, 600, 2789, null, 0, 6500, 20000, TST APPT, 0, 34, 1747, 0, 0, 1747, 4, 15, x, 01148-UP, null, null, null, null, 10/01/1988, 09/01/1990, 2789, x, 13500, St Helena, 3
30, 267, WERMUTH WINERY/RANCHO DE LAS FLORES, PROD, 375, 775, null, 0, 20000, 20000, PUB, 30, 100, 5200, 0, 0, 5200, 0, 8, x, U-698687, null, null, null, null, 07/21/1982, 09/01/1983, 775, null, 0, Calistoga, 3
31, 256, VIADER VINEYARDS, PROD, 4714, 4714, x, 14100, 32000, 32000, PVT, 0, 0, 288, 36, 3, 324, 4, 12, null, P05-0179, null, null, null, null, 05/22/1992, 09/01/1993, 18814, x, 32000, Napa Valley, 3
32, 116, FRANK FAMILY VINEYARDS, PROD, 81000, 102570, null, 0, 350000, 564500, PUB, 0, 2050, 106600, 4040, 118, 110640, 29, 86, x, P13-00147-VMM, null, null, null, null, 09/01/1884, 09/01/1952, 102570, x, 214500, Calistoga, 3
33, 18, BENESSERE, PROD, 3354, 9994, null, 0, 40000, 40000, APPT, 0, 4, 208, 0, 0, 208, 3, 5, x, null, null, null, null, null, 02/21/1979, 09/01/1980, 9994, null, 0, St Helena, 3
34, 113, LA JOTA VINEYARD, PROD, 4800, 5000, x, 5700, 10000, 20000, TST APPT, 0, 4, 208, 0, 0, 208, 1, 5, x, 01035-MOD, null, null, null, null, 11/01/1981, 09/01/1982, 10700, null, 0, Howell Mountain, 3
35, 191, SCHRAMSBERG VINEYARDS WINERY, PROD, 15600, 40645, x, 54071, 32000, 180000, APPT, 96, 672, 34944, 1730, 42, 36674, 39, 46, x, 02643-MOD, null, null, null, null, 09/01/1862, 09/01/1973, 94716, x, 60000, Diamond Mountain District, 3
36, 3, ALTA VINEYARD CELLAR, PROD, 480, 480, null, 0, 5000, 5000, NO, 0, 4, 208, 0, 0, 208, 4, 6, x, 003_U-387879, null, null, null, null, 05/02/1979, 09/01/1980, 480, null, 0, Diamond Mountain District, 3
